,index,date,close,high,low,open,candle_size
123927,123927,2022-02-08 11:20:00+05:30,17101.2,17119.15,17101.1,17108.5,-7.299999999999272
123928,123928,2022-02-08 11:25:00+05:30,17113.3,17119.45,17087.05,17101.2,12.099999999998545
123937,123937,2022-02-08 12:10:00+05:30,17181.4,17214.75,17180.55,17206.85,-25.44999999999709
123938,123938,2022-02-08 12:15:00+05:30,17212.9,17213.4,17179.95,17180.65,32.25
123939,123939,2022-02-08 12:20:00+05:30,17236.0,17245.0,17211.65,17214.3,21.700000000000728
123940,123940,2022-02-08 12:25:00+05:30,17237.85,17241.65,17223.75,17235.95,1.8999999999978172
123941,123941,2022-02-08 12:30:00+05:30,17232.85,17245.55,17227.1,17238.05,-5.200000000000728
123952,123952,2022-02-08 13:25:00+05:30,17169.65,17181.8,17154.25,17177.4,-7.75
123953,123953,2022-02-08 13:30:00+05:30,17207.3,17209.15,17154.1,17169.4,37.89999999999782
123954,123954,2022-02-08 13:35:00+05:30,17209.55,17220.15,17201.55,17207.6,1.9500000000007276
123955,123955,2022-02-08 13:40:00+05:30,17189.0,17219.9,17177.2,17209.4,-20.400000000001455
123956,123956,2022-02-08 13:45:00+05:30,17188.0,17215.5,17187.5,17191.45,-3.4500000000007276
123966,123966,2022-02-08 14:35:00+05:30,17172.3,17187.85,17156.85,17181.95,-9.650000000001455
123967,123967,2022-02-08 14:40:00+05:30,17194.75,17194.75,17162.6,17171.8,22.950000000000728
123968,123968,2022-02-08 14:45:00+05:30,17180.25,17203.65,17175.15,17194.35,-14.099999999998545
123969,123969,2022-02-08 14:50:00+05:30,17188.7,17196.8,17177.95,17180.5,8.200000000000728
123970,123970,2022-02-08 14:55:00+05:30,17252.9,17256.4,17185.3,17188.9,64.0
124010,124010,2022-02-09 12:00:00+05:30,17403.65,17410.25,17401.95,17407.55,-3.899999999997817
124011,124011,2022-02-09 12:05:00+05:30,17419.95,17423.9,17400.55,17403.6,16.350000000002183
124012,124012,2022-02-09 12:10:00+05:30,17410.95,17424.1,17409.3,17420.3,-9.349999999998545
