Percent Change,Percent Change1,date
0.001566444,0.1566444,27-02-2015 06:30
0.00196652,0.196652,27-02-2015 06:30
0.002393852,0.2393852,27-02-2015 06:30
-0.000409551,-0.0409551,27-02-2015 06:30
-0.000915636,-0.0915636,27-02-2015 07:00
0.003612958,0.3612958,27-02-2015 07:35
-0.000825656,-0.0825656,27-02-2015 08:10
0.006814567,0.6814567,27-02-2015 08:10
-0.001303325,-0.1303325,27-02-2015 08:10
0.003504787,0.3504787,27-02-2015 09:25
0.002525582,0.2525582,27-02-2015 09:25
0.000975308,0.0975308,27-02-2015 09:25
0.00564185,0.564185,28-02-2015 03:45
0.002955278,0.2955278,28-02-2015 03:45
-0.000220355,-0.0220355,28-02-2015 03:45
0.002142819,0.2142819,28-02-2015 03:45
0.00076809,0.076809,28-02-2015 05:40
-0.002645566,-0.2645566,28-02-2015 05:40
0.003398928,0.3398928,28-02-2015 05:40
0.004447349,0.4447349,28-02-2015 05:40
-0.002161332,-0.2161332,28-02-2015 05:40
0.004739646,0.4739646,28-02-2015 05:40
-0.000410655,-0.0410655,28-02-2015 06:05
0.004651775,0.4651775,28-02-2015 06:45
0.003168505,0.3168505,28-02-2015 07:10
-0.000245303,-0.0245303,28-02-2015 08:55
0.002000915,0.2000915,28-02-2015 08:50
0.002714345,0.2714345,28-02-2015 08:55
3.33E-05,0.00333,28-02-2015 09:15
0.004343581,0.4343581,28-02-2015 09:40
-0.001411476,-0.1411476,28-02-2015 09:40
-8.81E-05,-0.00881,02-03-2015 04:05
-0.00084618,-0.084618,02-03-2015 04:05
0.000980499,0.0980499,02-03-2015 04:05
-0.0017022,-0.17022,02-03-2015 04:05
-0.000464325,-0.0464325,02-03-2015 04:05
0.007341603,0.7341603,02-03-2015 04:45
0.003541635,0.3541635,02-03-2015 04:45
-0.000628097,-0.0628097,02-03-2015 08:55
0.000175629,0.0175629,02-03-2015 08:55
0.000996323,0.0996323,02-03-2015 08:20
-0.00205407,-0.205407,02-03-2015 08:40
-0.000699951,-0.0699951,02-03-2015 09:35
0.005380931,0.5380931,02-03-2015 09:35
-0.000250794,-0.0250794,02-03-2015 09:35
-0.000849909,-0.0849909,02-03-2015 09:35
0.000760187,0.0760187,03-03-2015 04:55
-0.001402113,-0.1402113,03-03-2015 04:55
0.000137594,0.0137594,03-03-2015 04:55
-0.000659961,-0.0659961,03-03-2015 04:55
-0.001338386,-0.1338386,03-03-2015 04:55
-0.001232695,-0.1232695,03-03-2015 05:45
-0.000949116,-0.0949116,03-03-2015 06:40
-0.000585491,-0.0585491,03-03-2015 07:15
-0.000159844,-0.0159844,03-03-2015 07:15
-0.001963021,-0.1963021,03-03-2015 08:55
0.00094629,0.094629,03-03-2015 08:55
-5.10E-05,-0.0051,03-03-2015 09:15
0.000221615,0.0221615,03-03-2015 09:15
0.001958178,0.1958178,03-03-2015 09:30
0.003439603,0.3439603,04-03-2015 03:45
0.002108133,0.2108133,04-03-2015 04:10
0.004093446,0.4093446,04-03-2015 04:10
-0.001435073,-0.1435073,04-03-2015 04:10
0.006858,0.6858,04-03-2015 04:10
6.19E-05,0.00619,04-03-2015 04:35
0.005287334,0.5287334,04-03-2015 08:40
0.004203869,0.4203869,04-03-2015 08:40
-0.001829809,-0.1829809,04-03-2015 08:55
-0.001002529,-0.1002529,05-03-2015 06:10
-0.000153182,-0.0153182,05-03-2015 06:10
0.000385637,0.0385637,05-03-2015 06:10
-0.001494695,-0.1494695,05-03-2015 06:15
-0.001703421,-0.1703421,05-03-2015 09:20
-0.000283686,-0.0283686,05-03-2015 09:20
0.001966577,0.1966577,05-03-2015 09:20
-0.000747076,-0.0747076,05-03-2015 09:20
-0.00055432,-0.055432,09-03-2015 03:45
-0.000290501,-0.0290501,09-03-2015 03:45
-0.000193503,-0.0193503,09-03-2015 05:40
-0.000259745,-0.0259745,09-03-2015 07:40
6.64E-05,0.00664,09-03-2015 07:40
-0.000737736,-0.0737736,09-03-2015 07:40
0.000321862,0.0321862,09-03-2015 07:40
-0.00019554,-0.019554,09-03-2015 07:40
-0.001019454,-0.1019454,10-03-2015 05:25
0.001335113,0.1335113,10-03-2015 07:45
-0.000492963,-0.0492963,10-03-2015 07:45
-0.000168151,-0.0168151,10-03-2015 07:45
0.00220736,0.220736,10-03-2015 07:45
0.001347589,0.1347589,10-03-2015 09:50
0.003602336,0.3602336,10-03-2015 09:50
0.001655499,0.1655499,11-03-2015 04:30
-0.001087751,-0.1087751,11-03-2015 04:30
0.000632557,0.0632557,11-03-2015 04:50
-0.002261803,-0.2261803,11-03-2015 06:35
7.90E-05,0.0079,11-03-2015 06:55
-0.000993079,-0.0993079,11-03-2015 08:20
0.003105204,0.3105204,11-03-2015 07:50
-0.005930814,-0.5930814,11-03-2015 08:20
-0.001312652,-0.1312652,11-03-2015 08:40
0.00193191,0.193191,11-03-2015 09:40
-0.002044491,-0.2044491,12-03-2015 04:35
-0.001009685,-0.1009685,12-03-2015 04:35
-0.001962688,-0.1962688,12-03-2015 04:35
-8.20E-05,-0.0082,12-03-2015 04:35
-0.001450029,-0.1450029,12-03-2015 04:35
0.004164562,0.4164562,12-03-2015 04:35
0.002034342,0.2034342,12-03-2015 04:35
-0.000908546,-0.0908546,12-03-2015 05:15
-0.000692854,-0.0692854,12-03-2015 09:35
-0.000714489,-0.0714489,12-03-2015 09:35
-0.001201527,-0.1201527,12-03-2015 09:35
0.002032385,0.2032385,13-03-2015 03:45
-0.000983314,-0.0983314,13-03-2015 03:45
0.000602776,0.0602776,13-03-2015 03:45
-0.001112822,-0.1112822,13-03-2015 03:45
-0.000306765,-0.0306765,13-03-2015 04:35
0.002218561,0.2218561,13-03-2015 04:35
-0.000433819,-0.0433819,13-03-2015 04:35
-0.000560204,-0.0560204,13-03-2015 04:35
0.001183575,0.1183575,13-03-2015 08:30
-0.000129421,-0.0129421,17-03-2015 03:45
-0.000273455,-0.0273455,17-03-2015 03:45
-0.000417426,-0.0417426,16-03-2015 04:55
-0.000114082,-0.0114082,16-03-2015 04:55
-0.000284872,-0.0284872,16-03-2015 08:50
-0.000698439,-0.0698439,17-03-2015 04:15
0.001253275,0.1253275,17-03-2015 04:15
-0.000741405,-0.0741405,17-03-2015 04:15
-0.000677816,-0.0677816,17-03-2015 04:15
-0.000568708,-0.0568708,17-03-2015 04:25
-0.000342153,-0.0342153,17-03-2015 04:50
-0.000693133,-0.0693133,17-03-2015 04:50
-0.000380477,-0.0380477,17-03-2015 04:50
0.001300089,0.1300089,17-03-2015 04:50
-0.000408966,-0.0408966,17-03-2015 05:50
9.79E-05,0.00979,17-03-2015 06:20
0.003255861,0.3255861,17-03-2015 06:20
0.000569014,0.0569014,18-03-2015 08:20
-0.000237161,-0.0237161,18-03-2015 08:20
0.001129187,0.1129187,18-03-2015 08:20
-0.000157381,-0.0157381,18-03-2015 08:20
-0.000956029,-0.0956029,18-03-2015 06:15
0.00113044,0.113044,18-03-2015 07:55
0.001888866,0.1888866,18-03-2015 08:20
0.000229062,0.0229062,18-03-2015 09:10
-3.57E-05,-0.00357,19-03-2015 03:45
-0.000350769,-0.0350769,19-03-2015 05:05
5.05E-05,0.00505,19-03-2015 05:05
0.001859712,0.1859712,19-03-2015 05:05
-0.000531339,-0.0531339,19-03-2015 05:05
-0.000673341,-0.0673341,19-03-2015 05:05
0.000577646,0.0577646,19-03-2015 05:05
-3.85E-05,-0.00385,19-03-2015 05:05
-0.000413413,-0.0413413,19-03-2015 05:05
-0.00065832,-0.065832,19-03-2015 05:05
0.001274111,0.1274111,19-03-2015 05:05
-0.000775923,-0.0775923,19-03-2015 05:05
9.14E-05,0.00914,19-03-2015 06:45
0.001493873,0.1493873,19-03-2015 07:00
0.001530113,0.1530113,19-03-2015 07:50
-0.000622979,-0.0622979,19-03-2015 08:55
0.002833097,0.2833097,19-03-2015 08:55
0.002053683,0.2053683,20-03-2015 07:35
-0.000110646,-0.0110646,20-03-2015 07:35
0.002173028,0.2173028,20-03-2015 07:35
-0.000633088,-0.0633088,20-03-2015 07:35
-0.00686019,-0.686019,23-03-2015 03:50
-0.001517432,-0.1517432,23-03-2015 08:10
-0.000324437,-0.0324437,24-03-2015 08:30
-0.001059974,-0.1059974,23-03-2015 06:25
