,index,date,close,high,low,open,volume,date1,year,month,day,time,Size of Candle,is_forty_point
2183,124210,2022-02-14 09:55:00+05:30,17030.15,17036.9,16999.6,17002.1,0,2022-02-14,2022,2,14,09:55:00,28.05000000000291,False
2184,124211,2022-02-14 10:00:00+05:30,17051.65,17053.65,17030.6,17030.6,0,2022-02-14,2022,2,14,10:00:00,21.05000000000291,False
2185,124212,2022-02-14 10:05:00+05:30,17018.35,17059.65,17014.4,17052.1,0,2022-02-14,2022,2,14,10:05:00,-33.75,False
2250,124277,2022-02-15 09:15:00+05:30,16982.4,16987.9,16902.5,16933.25,0,2022-02-15,2022,2,15,09:15:00,49.150000000001455,True
2251,124278,2022-02-15 09:20:00+05:30,16956.95,16998.15,16956.55,16982.4,0,2022-02-15,2022,2,15,09:20:00,-25.450000000000728,False
2252,124279,2022-02-15 09:25:00+05:30,16941.0,16958.9,16904.7,16958.25,0,2022-02-15,2022,2,15,09:25:00,-17.25,False
2253,124280,2022-02-15 09:30:00+05:30,16947.75,16974.55,16940.15,16942.5,0,2022-02-15,2022,2,15,09:30:00,5.25,False
2254,124281,2022-02-15 09:35:00+05:30,16924.7,16959.65,16920.55,16948.75,0,2022-02-15,2022,2,15,09:35:00,-24.049999999999272,False
2255,124282,2022-02-15 09:40:00+05:30,16883.75,16939.85,16876.4,16925.0,0,2022-02-15,2022,2,15,09:40:00,-41.25,False
2256,124283,2022-02-15 09:45:00+05:30,16881.9,16899.9,16869.7,16881.0,0,2022-02-15,2022,2,15,09:45:00,0.9000000000014552,False
2257,124284,2022-02-15 09:50:00+05:30,16916.45,16923.8,16880.35,16881.2,0,2022-02-15,2022,2,15,09:50:00,35.25,False
2258,124285,2022-02-15 09:55:00+05:30,16879.1,16916.35,16875.75,16916.1,0,2022-02-15,2022,2,15,09:55:00,-37.0,False
2259,124286,2022-02-15 10:00:00+05:30,16861.15,16879.45,16848.75,16879.45,0,2022-02-15,2022,2,15,10:00:00,-18.299999999999272,False
2327,124354,2022-02-16 09:25:00+05:30,17392.3,17401.9,17320.95,17328.15,0,2022-02-16,2022,2,16,09:25:00,64.14999999999782,True
2328,124355,2022-02-16 09:30:00+05:30,17391.45,17430.2,17389.25,17391.15,0,2022-02-16,2022,2,16,09:30:00,0.2999999999992724,False
2329,124356,2022-02-16 09:35:00+05:30,17379.3,17408.9,17352.6,17391.3,0,2022-02-16,2022,2,16,09:35:00,-12.0,False
2330,124357,2022-02-16 09:40:00+05:30,17360.7,17386.65,17359.6,17375.4,0,2022-02-16,2022,2,16,09:40:00,-14.700000000000728,False
2331,124358,2022-02-16 09:45:00+05:30,17368.3,17383.55,17356.75,17360.4,0,2022-02-16,2022,2,16,09:45:00,7.899999999997817,False
2332,124359,2022-02-16 09:50:00+05:30,17321.25,17382.7,17320.7,17368.3,0,2022-02-16,2022,2,16,09:50:00,-47.04999999999927,False
2333,124360,2022-02-16 09:55:00+05:30,17340.5,17347.65,17315.75,17319.95,0,2022-02-16,2022,2,16,09:55:00,20.549999999999272,False
